Palavra,Freq
ameaça,4
americanos,14
américa,13
capacidade,5
coisas,4
concidadãos,4
credo,4
crescente,4
daqui,5
democracia,20
devemos,5
direito,5
direitos,6
economia,4
espírito,6
filhos,7
força,4
fundadores,5
fé,5
geração,5
ideia,4
imigrantes,6
independentemente,4
jovens,4
leis,6
liberdade,6
liberdades,4
livre,4
longo,4
luta,4
maneira,5
medo,4
melhor,7
melhores,4
modo,5
mudanças,7
mulheres,5
mundo,7
país,17
podemos,7
política,9
precisamos,8
presidente,6
princípios,4
saúde,4
segurança,4
sido,7
significa,4
tantos,4
vi,6
vida,12
últimos,4
